transfer_id,club_name,player_name,age,position,transfer_fee(millions),year,season
0,Manchester City,Riyad Mahrez,27.0,Right Winger,67.8,2018,2018/2019
1,Manchester City,Philippe Sandler,21.0,Centre-Back,2.5,2018,2018/2019
2,Manchester City,Daniel Arzani,19.0,Left Winger,0.89,2018,2018/2019
3,Manchester United,Fred,25.0,Central Midfield,59.0,2018,2018/2019
4,Manchester United,Diogo Dalot,19.0,Right-Back,22.0,2018,2018/2019
5,Manchester United,Lee Grant,35.0,Goalkeeper,1.7,2018,2018/2019
6,Liverpool ,Alisson,25.0,Goalkeeper,62.5,2018,2018/2019
7,Liverpool ,Naby Keïta,23.0,Central Midfield,60.0,2018,2018/2019
8,Liverpool ,Fabinho,24.0,Defensive Midfield,45.0,2018,2018/2019
9,Liverpool ,Xherdan Shaqiri,26.0,Right Winger,14.7,2018,2018/2019
10,Chelsea ,Kepa Arrizabalaga,23.0,Goalkeeper,80.0,2018,2018/2019
11,Chelsea ,Jorginho,26.0,Defensive Midfield,57.0,2018,2018/2019
12,Chelsea ,Rob Green,38.0,Goalkeeper,0.0,2018,2018/2019
13,Arsenal ,Lucas Torreira,22.0,Defensive Midfield,28.65,2018,2018/2019
14,Arsenal ,Bernd Leno,26.0,Goalkeeper,25.0,2018,2018/2019
15,Arsenal ,Sokratis Papastathopoulos,30.0,Centre-Back,16.0,2018,2018/2019
16,Arsenal ,Mattéo Guendouzi,19.0,Central Midfield,8.0,2018,2018/2019
17,Arsenal ,Stephan Lichtsteiner,34.0,Right-Back,0.0,2018,2018/2019
18,Burnley ,Ben Gibson,25.0,Centre-Back,16.9,2018,2018/2019
19,Burnley ,Matej Vydra,26.0,Centre-Forward,12.2,2018,2018/2019
20,Burnley ,Joe Hart,31.0,Goalkeeper,3.9,2018,2018/2019
21,Everton ,Richarlison,21.0,Centre-Forward,39.2,2018,2018/2019
22,Everton ,Yerry Mina,23.0,Centre-Back,30.25,2018,2018/2019
23,Everton ,Lucas Digne,25.0,Left-Back,20.2,2018,2018/2019
24,Everton ,Kurt Zouma,23.0,Centre-Back,7.9,2018,2018/2019
25,Everton ,André Gomes,25.0,Central Midfield,2.25,2018,2018/2019
26,Everton ,Bernard,25.0,Left Winger,0.0,2018,2018/2019
27,Leicester City,James Maddison,21.0,Attacking Midfield,25.0,2018,2018/2019
28,Leicester City,Ricardo Pereira,24.0,Right-Back,22.0,2018,2018/2019
29,Leicester City,Caglar Söyüncü,22.0,Centre-Back,21.1,2018,2018/2019
30,Leicester City,Filip Benkovic,21.0,Centre-Back,14.5,2018,2018/2019
31,Leicester City,Rachid Ghezzal,26.0,Right Winger,14.0,2018,2018/2019
32,Leicester City,Danny Ward,25.0,Goalkeeper,14.0,2018,2018/2019
33,Leicester City,Jonny Evans,30.0,Centre-Back,4.0,2018,2018/2019
34,Newcastle United,Yoshinori Muto,26.0,Centre-Forward,10.7,2018,2018/2019
35,Newcastle United,Mikel Merino,22.0,Central Midfield,7.0,2018,2018/2019
36,Newcastle United,Federico Fernández,29.0,Centre-Back,6.7,2018,2018/2019
37,Newcastle United,Fabian Schär,26.0,Centre-Back,4.0,2018,2018/2019
38,Newcastle United,Martin Dubravka,29.0,Goalkeeper,4.0,2018,2018/2019
39,Newcastle United,Salomón Rondón,28.0,Centre-Forward,2.2,2018,2018/2019
40,Newcastle United,Sung-yueng Ki,29.0,Defensive Midfield,0.0,2018,2018/2019
41,Crystal Palace,Cheikhou Kouyaté,28.0,Defensive Midfield,10.7,2018,2018/2019
42,Crystal Palace,Vicente Guaita,31.0,Goalkeeper,0.0,2018,2018/2019
43,Crystal Palace,Max Meyer,22.0,Central Midfield,0.0,2018,2018/2019
44,A Bournemouth,Jefferson Lerma,23.0,Defensive Midfield,28.0,2018,2018/2019
45,A Bournemouth,Diego Rico,25.0,Left-Back,15.0,2018,2018/2019
46,A Bournemouth,David Brooks,20.0,Right Winger,11.3,2018,2018/2019
47,West Ham United,Felipe Anderson,25.0,Right Winger,38.0,2018,2018/2019
